epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1924,0.81382,2.38022,1.29584,0.29145,0.69444,0.44371,0.2844,0.80696,3.20208,1.40684,0.00036,0.00036,0.00036
2,112.645,0.90926,2.09135,1.41978,0.61928,0.27143,0.3854,0.26128,1.08923,3.28545,1.78293,0.00070337,0.00070337,0.00070337
